include,id,observed_on_string,observed_on,time_observed_at,date,time,tz,time_zone,user_id,user_login,
,42266923,Wed Apr 15 2020 13:34:41 GMT-0700 (PDT),2020-04-15,2020-04-15 20:34:41 UTC,2020-04-15,8:34:41 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42266985,Wed Apr 15 2020 13:36:20 GMT-0700 (PDT),2020-04-15,2020-04-15 20:36:20 UTC,2020-04-15,8:36:20 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42282516,Wed Apr 15 2020 13:37:12 GMT-0700 (PDT),2020-04-15,2020-04-15 20:37:12 UTC,2020-04-15,8:37:12 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42282399,Wed Apr 15 2020 13:38:07 GMT-0700 (PDT),2020-04-15,2020-04-15 20:38:07 UTC,2020-04-15,8:38:07 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42282228,Wed Apr 15 2020 13:39:11 GMT-0700 (PDT),2020-04-15,2020-04-15 20:39:11 UTC,2020-04-15,8:39:11 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42267034,Wed Apr 15 2020 13:41:24 GMT-0700 (PDT),2020-04-15,2020-04-15 20:41:24 UTC,2020-04-15,8:41:24 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42267225,Wed Apr 15 2020 13:43:01 GMT-0700 (PDT),2020-04-15,2020-04-15 20:43:01 UTC,2020-04-15,8:43:01 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42267318,Wed Apr 15 2020 13:44:12 GMT-0700 (PDT),2020-04-15,2020-04-15 20:44:12 UTC,2020-04-15,8:44:12 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42267450,Wed Apr 15 2020 13:47:51 GMT-0700 (PDT),2020-04-15,2020-04-15 20:47:51 UTC,2020-04-15,8:47:51 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42281667,Wed Apr 15 2020 13:48:26 GMT-0700 (PDT),2020-04-15,2020-04-15 20:48:26 UTC,2020-04-15,8:48:26 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42267597,Wed Apr 15 2020 13:49:20 GMT-0700 (PDT),2020-04-15,2020-04-15 20:49:20 UTC,2020-04-15,8:49:20 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42267640,Wed Apr 15 2020 13:50:15 GMT-0700 (PDT),2020-04-15,2020-04-15 20:50:15 UTC,2020-04-15,8:50:15 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42267685,Wed Apr 15 2020 13:50:43 GMT-0700 (PDT),2020-04-15,2020-04-15 20:50:43 UTC,2020-04-15,8:50:43 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42269161,Wed Apr 15 2020 13:55:01 GMT-0700 (PDT),2020-04-15,2020-04-15 20:55:01 UTC,2020-04-15,8:55:01 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42270794,Wed Apr 15 2020 13:56:20 GMT-0700 (PDT),2020-04-15,2020-04-15 20:56:20 UTC,2020-04-15,8:56:20 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42270953,Wed Apr 15 2020 13:58:38 GMT-0700 (PDT),2020-04-15,2020-04-15 20:58:38 UTC,2020-04-15,8:58:38 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42279756,Wed Apr 15 2020 14:02:38 GMT-0700 (PDT),2020-04-15,2020-04-15 21:02:38 UTC,2020-04-15,9:02:38 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42279692,Wed Apr 15 2020 14:04:36 GMT-0700 (PDT),2020-04-15,2020-04-15 21:04:36 UTC,2020-04-15,9:04:36 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42279404,Wed Apr 15 2020 14:06:46 GMT-0700 (PDT),2020-04-15,2020-04-15 21:06:46 UTC,2020-04-15,9:06:46 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42279300,Wed Apr 15 2020 14:07:22 GMT-0700 (PDT),2020-04-15,2020-04-15 21:07:22 UTC,2020-04-15,9:07:22 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42279047,Wed Apr 15 2020 14:08:41 GMT-0700 (PDT),2020-04-15,2020-04-15 21:08:41 UTC,2020-04-15,9:08:41 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42278975,Wed Apr 15 2020 14:11:05 GMT-0700 (PDT),2020-04-15,2020-04-15 21:11:05 UTC,2020-04-15,9:11:05 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42278775,Wed Apr 15 2020 14:11:47 GMT-0700 (PDT),2020-04-15,2020-04-15 21:11:47 UTC,2020-04-15,9:11:47 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42277742,Wed Apr 15 2020 14:16:24 GMT-0700 (PDT),2020-04-15,2020-04-15 21:16:24 UTC,2020-04-15,9:16:24 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42277179,Wed Apr 15 2020 14:21:23 GMT-0700 (PDT),2020-04-15,2020-04-15 21:21:23 UTC,2020-04-15,9:21:23 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42272478,Wed Apr 15 2020 14:24:46 GMT-0700 (PDT),2020-04-15,2020-04-15 21:24:46 UTC,2020-04-15,9:24:46 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42272399,Wed Apr 15 2020 14:26:58 GMT-0700 (PDT),2020-04-15,2020-04-15 21:26:58 UTC,2020-04-15,9:26:58 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42272289,Wed Apr 15 2020 14:30:24 GMT-0700 (PDT),2020-04-15,2020-04-15 21:30:24 UTC,2020-04-15,9:30:24 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42272209,Wed Apr 15 2020 14:31:30 GMT-0700 (PDT),2020-04-15,2020-04-15 21:31:30 UTC,2020-04-15,9:31:30 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42272087,Wed Apr 15 2020 14:32:40 GMT-0700 (PDT),2020-04-15,2020-04-15 21:32:40 UTC,2020-04-15,9:32:40 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42272018,Wed Apr 15 2020 14:34:17 GMT-0700 (PDT),2020-04-15,2020-04-15 21:34:17 UTC,2020-04-15,9:34:17 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
